index,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare,economy_fare_usd,business_fare_usd,first_fare_usd
6891,BOM,SIN,23:40:00,4,8:00:00,7:40:00,5,SQ423,SQ,Singapore Airlines,85526,83996,182897,1026.312,1007.952,2194.764
6892,BOM,SIN,1:00:00,5,8:10:00,9:10:00,5,SQ425,SQ,Singapore Airlines,96523,64298,97562,1158.276,771.576,1170.744
6893,BOM,DMK,23:50:00,6,5:45:00,5:35:00,0,SL219,SL,Thai Lion Air,14259,,,171.108,,
6894,BOM,BKK,23:35:00,6,6:00:00,5:35:00,0,WE5318,WE,Thai Smile Airways,17287,,,207.444,,
6895,BOM,DMK,23:50:00,2,5:45:00,5:35:00,3,SL219,SL,Thai Lion Air,19814,,,237.768,,
6896,BOM,DMK,23:50:00,4,5:45:00,5:35:00,5,SL219,SL,Thai Lion Air,19814,,,237.768,,
6897,BOM,BKK,23:35:00,4,6:00:00,5:35:00,5,WE5318,WE,Thai Smile Airways,19953,,,239.436,,
6898,BOM,BKK,23:35:00,1,6:00:00,5:35:00,2,WE5318,WE,Thai Smile Airways,21032,,,252.384,,
6899,BOM,BKK,23:35:00,5,6:00:00,5:35:00,6,WE5318,WE,Thai Smile Airways,21258,,,255.096,,
6900,BOM,BKK,23:35:00,6,6:00:00,5:35:00,0,TG318,TG,Thai Airways,22311,,108084,267.732,,1297.008
6901,BOM,DMK,23:50:00,0,5:45:00,5:35:00,1,SL219,SL,Thai Lion Air,22529,,,270.348,,
6902,BOM,BKK,23:35:00,2,6:00:00,5:35:00,3,WE5318,WE,Thai Smile Airways,22582,,,270.984,,
6903,BOM,BKK,23:35:00,3,6:00:00,5:35:00,4,WE5318,WE,Thai Smile Airways,22706,,,272.472,,
6904,BOM,BKK,23:35:00,0,6:00:00,5:35:00,1,WE5318,WE,Thai Smile Airways,22706,,,272.472,,
6905,BOM,BKK,23:35:00,4,6:00:00,5:35:00,5,TG318,TG,Thai Airways,24349,,54468,292.188,,653.616
6906,BOM,BKK,23:35:00,5,6:00:00,5:35:00,6,TG318,TG,Thai Airways,27067,,54468,324.804,,653.616
6907,BOM,BKK,8:40:00,6,6:00:00,14:40:00,6,6E1794,6E,Indigo,28633,,,343.596,,
6908,BOM,BKK,8:40:00,4,6:00:00,14:40:00,4,6E1794,6E,Indigo,31049,,,372.588,,
6909,BOM,BKK,23:35:00,1,6:00:00,5:35:00,2,TG318,TG,Thai Airways,33587,,60520,403.044,,726.24
6910,BOM,BKK,23:35:00,2,6:00:00,5:35:00,3,TG318,TG,Thai Airways,33587,,60816,403.044,,729.792
6911,BOM,BKK,23:35:00,0,6:00:00,5:35:00,1,TG318,TG,Thai Airways,33587,,54115,403.044,,649.38
6912,BOM,BKK,23:35:00,3,6:00:00,5:35:00,4,TG318,TG,Thai Airways,33778,,101493,405.336,,1217.916
6913,BOM,BKK,8:40:00,5,6:00:00,14:40:00,5,6E1794,6E,Indigo,37086,,,445.032,,
6914,BOM,BKK,8:40:00,0,6:00:00,14:40:00,0,6E1794,6E,Indigo,37086,,,445.032,,
6915,BOM,BKK,8:40:00,1,6:00:00,14:40:00,1,6E1794,6E,Indigo,46746,,,560.952,,
6916,BOM,BKK,8:40:00,3,6:00:00,14:40:00,3,6E1794,6E,Indigo,50368,,,604.416,,
6917,BOM,BKK,8:40:00,2,6:00:00,14:40:00,2,6E1794,6E,Indigo,55198,,,662.376,,
6918,BOM,KUL,23:25:00,5,8:00:00,7:25:00,6,MH195,MH,Malaysia Airlines,38189,,85935,458.268,,1031.22
6919,BOM,KUL,23:25:00,6,8:00:00,7:25:00,0,MH195,MH,Malaysia Airlines,38189,,68659,458.268,,823.908
6920,BOM,KUL,13:15:00,4,7:50:00,21:05:00,4,MH175,MH,Malaysia Airlines,61941,,68659,743.292,,823.908
6921,BOM,KUL,23:25:00,2,8:00:00,7:25:00,3,MH195,MH,Malaysia Airlines,61941,,86029,743.292,,1032.348
6922,BOM,KUL,23:25:00,4,8:00:00,7:25:00,5,MH195,MH,Malaysia Airlines,61941,,68659,743.292,,823.908
6923,YYZ,ATL,8:00:00,6,2:14:00,10:14:00,6,AC8953,AC,Air Canada,34523,,40567,414.276,,486.804
6924,YYZ,ATL,19:55:00,6,2:14:00,22:09:00,6,AC8959,AC,Air Canada,34523,,40567,414.276,,486.804
6925,YYZ,ATL,12:25:00,4,2:14:00,14:39:00,4,AC8955,AC,Air Canada,34523,,70879,414.276,,850.548
6926,YYZ,ATL,12:25:00,5,2:14:00,14:39:00,5,AC8955,AC,Air Canada,34523,,46942,414.276,,563.304
6927,YYZ,ATL,19:55:00,4,2:14:00,22:09:00,4,AC8959,AC,Air Canada,34523,,,414.276,,
