index,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare,economy_fare_usd,business_fare_usd,first_fare_usd
6549,BCN,LAX,14:00:00,3,4:10:00,18:10:00,3,IB2623,IB,Iberia Airways,161964,184986,,1943.568,2219.832,
6550,BCN,LAX,14:00:00,0,4:10:00,18:10:00,0,IB2623,IB,Iberia Airways,161964,,,1943.568,,
6551,BCN,LAX,14:00:00,3,4:10:00,18:10:00,3,AA8836,AA,American Airlines,197962,,,2375.544,,
6552,BCN,LAX,14:00:00,5,4:10:00,18:10:00,5,AA8836,AA,American Airlines,197962,,,2375.544,,
6553,BCN,LAX,14:00:00,2,4:10:00,18:10:00,2,AA8836,AA,American Airlines,197962,,,2375.544,,
6554,BCN,LAX,14:00:00,0,4:10:00,18:10:00,0,AA8836,AA,American Airlines,197962,,,2375.544,,
6555,BCN,ORD,11:35:00,0,3:00:00,14:35:00,0,AY4122,AY,Finnair,109568,268000,521867,1314.816,3216,6262.404
6556,BCN,ORD,11:35:00,1,3:00:00,14:35:00,1,AY4122,AY,Finnair,109568,268000,521867,1314.816,3216,6262.404
6557,BCN,ORD,11:35:00,4,3:00:00,14:35:00,4,AY4122,AY,Finnair,122335,268000,521867,1468.02,3216,6262.404
6558,BCN,ORD,11:35:00,6,3:00:00,14:35:00,6,AA41,AA,American Airlines,188358,,,2260.296,,
6559,BCN,ORD,11:35:00,5,3:00:00,14:35:00,5,AA41,AA,American Airlines,188540,,,2262.48,,
6560,BCN,ORD,11:35:00,0,3:00:00,14:35:00,0,AA41,AA,American Airlines,188540,,,2262.48,,
6561,BCN,ORD,11:35:00,2,3:00:00,14:35:00,2,AA41,AA,American Airlines,188540,,,2262.48,,
6562,BCN,ORD,11:35:00,4,3:00:00,14:35:00,4,AA41,AA,American Airlines,188540,,,2262.48,,
6563,BCN,ORD,11:35:00,5,3:00:00,14:35:00,5,IB4383,IB,Iberia Airways,189523,,518672,2274.276,,6224.064
6564,BCN,ORD,11:35:00,6,3:00:00,14:35:00,6,IB4383,IB,Iberia Airways,189523,273148,,2274.276,3277.776,
6565,BCN,ORD,11:35:00,2,3:00:00,14:35:00,2,IB4383,IB,Iberia Airways,189523,269088,,2274.276,3229.056,
